English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Air CO2 Concentration,Concentración de CO2 del Aire,Aire: Concentración de CO2,Concentration en CO2 de l&apos;air,Air: Concentration en CO2,Y,Y
Air CO2 Internal Gain Volume Flow Rate,Caudal Volumétrico de Ganancia Interna de CO2 del Aire,Aire: Tasa de Flujo Volumétrico de Ganancia Interna de CO2,Débit volumique du gain interne de CO2 de l&apos;air,Air: Débit volumique de gain interne de CO2,Y,Y
Air Generic Air Contaminant Concentration,Concentración de Contaminante Genérico del Aire,Aire: Concentración de Contaminante Genérico del Aire,Concentration en Polluant Générique de l&apos;Air,Air : Concentration en Polluant Aérien Générique,Y,Y
Air Heat Balance Air Energy Storage Rate,Tasa de Almacenamiento de Energía del Aire en el Balance Térmico del Aire,Equilibrio Térmico del Aire: Velocidad de Almacenamiento de Energía del Aire,Vitesse de stockage d&apos;énergie de l&apos;air du bilan thermique de l&apos;air,Bilan thermique de l'air: Débit de stockage d'énergie de l'air,Y,Y
Air Heat Balance Deviation Rate,Tasa de Desviación del Balance Térmico del Aire,Balance Térmico del Aire: Tasa de Desviación,Taux de déviation de l&apos;équilibre thermique de l&apos;air,Bilan Thermique Air: Taux de Déviation,Y,Y
Air Heat Balance Internal Convective Heat Gain Rate,Tasa de Ganancia de Calor Convectivo Interno del Balance Térmico del Aire,Flujo de Calor por Convección Interna del Aire: Tasa de Ganancia de Calor Convectivo Interno,Débit de gain de chaleur convective interne du bilan thermique de l&apos;air,Bilan Thermique de l'Air: Débit de Gain de Chaleur par Convection Interne,Y,Y
Air Heat Balance Interzone Air Transfer Rate,Tasa de Transferencia de Aire entre Zonas del Balance Térmico del Aire,Balance Térmico del Aire: Tasa de Transferencia de Aire entre Zonas,Taux de transfert d&apos;air interzones de l&apos;équilibre thermique de l&apos;air,Bilan Thermique de l'Air : Débit d'Échange d'Air entre Zones,Y,Y
Air Heat Balance Outdoor Air Transfer Rate,Tasa de Transferencia de Aire Exterior del Balance Térmico del Aire,Equilibrio Térmico del Aire: Tasa de Transferencia de Aire Exterior,Taux de transfert d&apos;air extérieur du bilan thermique de l&apos;air,Bilan thermique de l'air : Débit de transfert d'air extérieur,Y,Y
Air Heat Balance Surface Convection Rate,Tasa de Convección de Superficies del Balance Térmico del Aire,Balance Térmico del Aire: Tasa de Convección Superficial,Taux de Convection de Surface de l&apos;Équilibre Thermique de l&apos;Air,Bilan thermique de l'air : Taux de convection de surface,Y,Y
Air Heat Balance System Air Transfer Rate,Tasa de Transferencia de Aire del Sistema del Balance Térmico del Aire,Equilibrio de Calor del Aire: Tasa de Transferencia de Aire del Sistema,Taux de Transfert d&apos;Air du Système d&apos;Équilibre Thermique de l&apos;Air,Bilan thermique de l'air: Débit de transfert d'air du système,Y,Y
