Context,English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
CalendarSegmentItem,Double click to cut segment,Doble clic para cortar segmento,Hacer doble clic para cortar el segmento,Double-cliquez pour couper le segment,Double-cliquez pour découper le segment,Y,Y
InspectorDialog,Add new object,Agregar nuevo objeto,Agregar nuevo objeto,Ajouter un nouvel objet,Ajouter un nouvel objet,,
InspectorDialog,Copy selected object,Copiar objeto seleccionado,Copiar objeto seleccionado,Copier les objets sélectionnés,Copier l'objet sélectionné,,Y
InspectorDialog,OpenStudio Inspector,Inspector de OpenStudio,Inspector de OpenStudio,OpenStudio Inspector,Inspecteur OpenStudio,,Y
InspectorDialog,Remove selected objects,Remover objetos seleccionados,Eliminar objetos seleccionados,Supprimer les objets selectionnés,Supprimer les objets sélectionnés,Y,Y
InspectorGadget,Add/Remove Extensible Groups,Añadir/Remover Grupos Extendibles,Agregar/Eliminar Grupos Extensibles,Ajouter / Supprimer des groupes extensibles,Ajouter/Supprimer des groupes extensibles,Y,Y
InspectorGadget,Autocalculate,Auto Calcular,Calcular automáticamente,Autocalculé,Calcul automatique,Y,Y
InspectorGadget,Autosized,Auto Dimensionado,Tamaño automático,Auto dimensionné,Dimensionné automatiquement,Y,Y
InspectorGadget,Hard Sized,Dimensionamiento Fijo,Tamaño Fijo,Dimensionné manuellement,Dimensionné manuellement,Y,
LocationView,Import Design Days,Importar Días de Diseño,Importar Días de Diseño,Importer des jours de dimensionnement,Importer les jours de conception,,Y
ModelObjectSelectorDialog,Cancel,Cancelar,Cancelar,Annuler,Annuler,,
ModelObjectSelectorDialog,OK,OK,Aceptar,OK,OK,Y,
ModelObjectSelectorDialog,Select Model Object,Seleccional Objecto Modelo,Seleccionar Objeto del Modelo,Selectionner un Model Object,Sélectionner un objet du modèle,Y,Y
ScheduleOthersView,Schedule Compact,Horario compacto,Horario Compacto,Calendrier Compact,Calendrier Compact,Y,
ScheduleOthersView,Schedule Constant,Horario constante,Horario Constante,Calendrier Constant,Calendrier Constant,Y,
ScheduleOthersView,Schedule File,Archivo de horario,Archivo de Horario,Fichier d'horaire,Fichier de Calendrier,Y,Y
ScheduleTypeLimitItem,Schedule Type Limit,Límite de tipo de horario,Límite de Tipo de Programación,Limite du Type de Calendrier,Limite de Type de Calendrier,Y,Y
TaxonomyCategories,Cases and Walkins,Vitrinas y Cámaras,Vitrinas y Cámaras,Vitrines et Chambres froides,Vitrines et Chambres Froides,,Y
TaxonomyCategories,Characteristics,Características,Características,Caractéristiques,Caractéristiques,,
TaxonomyCategories,Compressors,Compresores,Compresores,Compresseurs,Compresseurs,,
TaxonomyCategories,Condensers,Condensadores,Condensadores,Condenseurs,Condenseurs,,
TaxonomyCategories,Construction Sets,Conjuntos de Construcción,Conjuntos de Construcción,Ensembles de construction,Ensembles de construction,,
TaxonomyCategories,Cooling,Enfriamiento,Refrigeración,Refroidissement,Refroidissement,Y,
