English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
100% Outdoor Air in Cooling,Acción,100% Aire Exterior en Enfriamiento,100% d'air extérieur en refroidissement,100% Air extérieur en refroidissement,Y,Y
100% Outdoor Air in Heating,Área Activa,100% Aire Exterior en Calefacción,100% Air Extérieur en Chauffage,Utilisation de 100% d'air extérieur en chauffage,Y,Y
Absolute Airflow Convergence Tolerance,Fracción Activa del Área de la Cara de la Bobina,Tolerancia de Convergencia de Flujo de Aire Absoluto,Tolérance de convergence du débit d'air absolu,Tolérance de convergence du débit d'air absolu,Y,
Absorptance of Absorber Plate,Nombre del Programa de Factor de Actividad,Absortancia de la Placa Absorbedora,Absorptance de la plaque absorbante,Absorptance de la plaque absorbante,Y,
Account for Dedicated Outdoor Air System,Considerar Sistema de Aire Exterior Dedicado,Contabilizar Sistema Dedicado de Aire Exterior,Tenir compte du système d'air extérieur dédié,Tenir compte du système DOAS,Y,Y
Accumulated Rays per Record,Temperatura Real de la Chimenea,Rayos Acumulados por Registro,Rayons accumulés par enregistrement,Rayons accumulés par enregistrement,Y,
Accumulated Run Time Degradation Coefficient,Tipo de Control de Componente Accionado,Coeficiente de Degradación por Tiempo de Operación Acumulado,Coefficient de Dégradation du Temps d'Exécution Accumulé,Coefficient de Dégradation du Temps d'Accumulation,Y,Y
Action,Nombre del Componente Accionado,Acción,Action,Action,Y,
Active Area,Tipo de Componente Accionado,Área Activa,Zone active,Zone active,Y,
Active Fraction of Coil Face Area,Nombre Único del Componente Accionado,Fracción Activa del Área de Cara de la Bobina,Fraction Active de la Surface de la Bobine,Fraction active de la surface frontale de la batterie,Y,Y
Activity Factor Schedule Name,Diccionario de Disponibilidad del Actuador - Reportes,Nombre del Calendario del Factor de Actividad,Nom de l'horaire du facteur d'activité,Nom de la planification du facteur d'activité,Y,Y
Activity Level Schedule Name,Nombre del Horario de Nivel de Actividad,Nombre del Programa de Nivel de Actividad,Nom du calendrier de niveau d'activité,Nom de la planification du niveau d'activité,Y,Y
Actual Stack Temperature,Nombre del Nodo Actuador,Temperatura Real de la Chimenea,Température réelle de la cheminée,Température réelle de la cheminée,Y,
Actuated Component Control Type,Variable del Actuador,Tipo de Control del Componente Actuado,Type de Contrôle du Composant Actionné,Type de contrôle du composant actionné,Y,Y
Actuated Component Name,Agregar Directorio de Trabajo Actual a la Ruta de Búsqueda,Nombre del Componente Accionado,Nom du composant actionné,Nom du composant actionné,Y,
