English Variable,Category,Sub-Category,Measurement,Formatted
Air System Component Model Simulation Calls,Air System,,Component Model Simulation Calls,Air System: Component Model Simulation Calls
Air System Mixed Air Mass Flow Rate,Air System,,Mixed Air Mass Flow Rate,Air System: Mixed Air Mass Flow Rate
Air System Outdoor Air Economizer Status,Air System,,Outdoor Air Economizer Status,Air System: Outdoor Air Economizer Status
Air System Outdoor Air Flow Fraction,Air System,,Outdoor Air Flow Fraction,Air System: Outdoor Air Flow Fraction
Air System Outdoor Air Heat Recovery Bypass Heating Coil Activity Status,Air System,,Outdoor Air Heat Recovery Bypass Heating Coil Activity Status,Air System: Outdoor Air Heat Recovery Bypass Heating Coil Activity Status
Air System Outdoor Air Heat Recovery Bypass Minimum Outdoor Air Mixed Air Temperature,Air System,,Outdoor Air Heat Recovery Bypass Minimum Outdoor Air Mixed Air Temperature,Air System: Outdoor Air Heat Recovery Bypass Minimum Outdoor Air Mixed Air Temperature
Air System Outdoor Air Heat Recovery Bypass Status,Air System,,Outdoor Air Heat Recovery Bypass Status,Air System: Outdoor Air Heat Recovery Bypass Status
Air System Outdoor Air High Humidity Control Status,Air System,,Outdoor Air High Humidity Control Status,Air System: Outdoor Air High Humidity Control Status
Air System Outdoor Air Mass Flow Rate,Air System,,Outdoor Air Mass Flow Rate,Air System: Outdoor Air Mass Flow Rate
Air System Outdoor Air Maximum Flow Fraction,Air System,,Outdoor Air Maximum Flow Fraction,Air System: Outdoor Air Maximum Flow Fraction
Air System Outdoor Air Mechanical Ventilation Requested Mass Flow Rate,Air System,,Outdoor Air Mechanical Ventilation Requested Mass Flow Rate,Air System: Outdoor Air Mechanical Ventilation Requested Mass Flow Rate
Air System Outdoor Air Minimum Flow Fraction,Air System,,Outdoor Air Minimum Flow Fraction,Air System: Outdoor Air Minimum Flow Fraction
Air System Simulation Cycle On Off Status,Air System,,Simulation Cycle On Off Status,Air System: Simulation Cycle On Off Status
Air System Simulation Iteration Count,Air System,,Simulation Iteration Count,Air System: Simulation Iteration Count
Air System Simulation Maximum Iteration Count,Air System,,Simulation Maximum Iteration Count,Air System: Simulation Maximum Iteration Count
Air System Solver Iteration Count,Air System,,Solver Iteration Count,Air System: Solver Iteration Count
Baseboard Convective Heating Energy,Baseboard,,Convective Heating Energy,Baseboard: Convective Heating Energy
Baseboard Convective Heating Rate,Baseboard,,Convective Heating Rate,Baseboard: Convective Heating Rate
Baseboard Electricity Energy,Baseboard,,Electricity Energy,Baseboard: Electricity Energy
Baseboard Electricity Rate,Baseboard,,Electricity Rate,Baseboard: Electricity Rate
Baseboard Radiant Heating Energy,Baseboard,,Radiant Heating Energy,Baseboard: Radiant Heating Energy
Baseboard Radiant Heating Rate,Baseboard,,Radiant Heating Rate,Baseboard: Radiant Heating Rate
Baseboard Total Heating Energy,Baseboard,,Total Heating Energy,Baseboard: Total Heating Energy
Baseboard Total Heating Rate,Baseboard,,Total Heating Rate,Baseboard: Total Heating Rate
Boiler Ancillary Electricity Energy,Boiler,,Ancillary Electricity Energy,Boiler: Ancillary Electricity Energy
Boiler Coal Energy,Boiler,,Coal Energy,Boiler: Coal Energy
Boiler Coal Rate,Boiler,,Coal Rate,Boiler: Coal Rate
Boiler Diesel Energy,Boiler,,Diesel Energy,Boiler: Diesel Energy
Boiler Diesel Rate,Boiler,,Diesel Rate,Boiler: Diesel Rate
Boiler Electricity Energy,Boiler,,Electricity Energy,Boiler: Electricity Energy
Boiler Electricity Rate,Boiler,,Electricity Rate,Boiler: Electricity Rate
Boiler FuelOilNo1 Energy,Boiler,,FuelOilNo1 Energy,Boiler: FuelOilNo1 Energy
Boiler FuelOilNo1 Rate,Boiler,,FuelOilNo1 Rate,Boiler: FuelOilNo1 Rate
Boiler FuelOilNo2 Energy,Boiler,,FuelOilNo2 Energy,Boiler: FuelOilNo2 Energy
Boiler FuelOilNo2 Rate,Boiler,,FuelOilNo2 Rate,Boiler: FuelOilNo2 Rate
Boiler Gasoline Energy,Boiler,,Gasoline Energy,Boiler: Gasoline Energy
Boiler Gasoline Rate,Boiler,,Gasoline Rate,Boiler: Gasoline Rate
Boiler Heating Energy,Boiler,,Heating Energy,Boiler: Heating Energy
Boiler Heating Rate,Boiler,,Heating Rate,Boiler: Heating Rate
Boiler Inlet Temperature,Boiler,,Inlet Temperature,Boiler: Inlet Temperature
Boiler Mass Flow Rate,Boiler,,Mass Flow Rate,Boiler: Mass Flow Rate
Boiler NaturalGas Energy,Boiler,,NaturalGas Energy,Boiler: NaturalGas Energy
Boiler NaturalGas Rate,Boiler,,NaturalGas Rate,Boiler: NaturalGas Rate
Boiler OtherFuel1 Energy,Boiler,,OtherFuel1 Energy,Boiler: OtherFuel1 Energy
Boiler OtherFuel1 Rate,Boiler,,OtherFuel1 Rate,Boiler: OtherFuel1 Rate
Boiler OtherFuel2 Energy,Boiler,,OtherFuel2 Energy,Boiler: OtherFuel2 Energy
Boiler OtherFuel2 Rate,Boiler,,OtherFuel2 Rate,Boiler: OtherFuel2 Rate
Boiler Outlet Temperature,Boiler,,Outlet Temperature,Boiler: Outlet Temperature
Boiler Parasitic Electric Power,Boiler,,Parasitic Electric Power,Boiler: Parasitic Electric Power
Boiler Part Load Ratio,Boiler,,Part Load Ratio,Boiler: Part Load Ratio
Boiler Propane Energy,Boiler,,Propane Energy,Boiler: Propane Energy
Boiler Propane Rate,Boiler,,Propane Rate,Boiler: Propane Rate
