English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Air CO2 Concentration,Concentración de CO2 del Aire,Aire: Concentración de CO2,Concentration en CO2 de l&apos;air,Air: Concentration en CO2,Y,Y
Air CO2 Internal Gain Volume Flow Rate,Caudal Volumétrico de Ganancia Interna de CO2 del Aire,Aire: Tasa de Flujo Volumétrico de Ganancia Interna de CO2,Débit volumique du gain interne de CO2 de l&apos;air,Air: Débit volumique interne de gain de CO2,Y,Y
Air Generic Air Contaminant Concentration,Concentración de Contaminante Genérico del Aire,Aire: Concentración de Contaminante Genérico del Aire,Concentration en Polluant Générique de l&apos;Air,Air : Concentration en Contaminant Générique de l'Air,Y,Y
Air Heat Balance Air Energy Storage Rate,Tasa de Almacenamiento de Energía del Aire en el Balance Térmico del Aire,Balance Térmico del Aire: Velocidad de Almacenamiento de Energía del Aire,Vitesse de stockage d&apos;énergie de l&apos;air du bilan thermique de l&apos;air,Zone: Taux de Stockage d'Énergie de l'Air,Y,Y
Air Heat Balance Deviation Rate,Tasa de Desviación del Balance Térmico del Aire,Sistema de Aire: Tasa de Desviación del Balance de Calor,Taux de déviation de l&apos;équilibre thermique de l&apos;air,Bilan Thermique de l'Air : Taux d'Écart,Y,Y
Air Heat Balance Internal Convective Heat Gain Rate,Tasa de Ganancia de Calor Convectivo Interno del Balance Térmico del Aire,Balance Térmico del Aire: Velocidad de Ganancia de Calor Convectivo Interno,Débit de gain de chaleur convective interne du bilan thermique de l&apos;air,Bilan thermique de l'air : Débit de gain de chaleur convective interne,Y,Y
Air Heat Balance Interzone Air Transfer Rate,Tasa de Transferencia de Aire entre Zonas del Balance Térmico del Aire,Equilibrio Térmico del Aire: Tasa de Transferencia de Aire entre Zonas,Taux de transfert d&apos;air interzones de l&apos;équilibre thermique de l&apos;air,Bilan thermique de l'air : Débit de transfert d'air interzones,Y,Y
Air Heat Balance Outdoor Air Transfer Rate,Tasa de Transferencia de Aire Exterior del Balance Térmico del Aire,Balance de Calor del Aire: Tasa de Transferencia de Aire Exterior,Taux de transfert d&apos;air extérieur du bilan thermique de l&apos;air,Bilan thermique de l'air : Débit de transfert d'air extérieur,Y,Y
Air Heat Balance Surface Convection Rate,Tasa de Convección de Superficies del Balance Térmico del Aire,Equilibrio Térmico del Aire: Tasa de Convección en Superficie,Taux de Convection de Surface de l&apos;Équilibre Thermique de l&apos;Air,Bilan Thermique de l'Air : Débit de Convection de Surface,Y,Y
Air Heat Balance System Air Transfer Rate,Tasa de Transferencia de Aire del Sistema del Balance Térmico del Aire,Equilibrio Térmico del Aire: Tasa de Transferencia de Aire del Sistema,Taux de Transfert d&apos;Air du Système d&apos;Équilibre Thermique de l&apos;Air,Bilan Thermique de l'Air : Débit d'Air Transféré par le Système,Y,Y
Air Heat Balance System Convective Heat Gain Rate,Tasa de Ganancia de Calor Convectivo del Sistema del Balance Térmico del Aire,Equilibrio de Calor en Aire: Tasa de Ganancia de Calor Convectivo del Sistema,Taux de gain de chaleur par convection du système d&apos;équilibre thermique de l&apos;air,Bilan thermique de l'air : Flux de gain thermique convectif du système,Y,Y
Air Humidity Ratio,Relación de Humedad del Aire,Aire: Relación de Humedad,Rapport d&apos;humidité de l&apos;air,Air : Ratio d'humidité,Y,Y
Air Relative Humidity,Humedad Relativa del Aire,Aire: Humedad Relativa,Humidité Relative de l&apos;Air,Air: Humidité relative,Y,Y
Air System Component Model Simulation Calls,Llamadas de Simulación del Modelo de Componente del Sistema de Aire,Sistema de Aire: Llamadas de Simulación del Modelo de Componente,Appels de simulation du modèle de composant du système d&apos;air,Système d'air : Appels de simulation du modèle de composant,Y,Y
Air System Mixed Air Mass Flow Rate,Caudal Másico de Aire Mezclado del Sistema de Aire,Sistema de Aire: Flujo Másico de Aire Mixto,Débit massique d&apos;air mélangé du système de climatisation,Système d'air: Débit massique d'air mélangé,Y,Y
